2023_RGB_8cm_E07A_1: left=0.0, bottom=-3771000.0, right=1000.0, top=-3770000.0
2023_RGB_8cm_E07A_6: left=0.0, bottom=-3772000.0, right=1000.0, top=-3771000.0
2023_RGB_8cm_E07A_11: left=0.0, bottom=-3773000.0, right=1000.0, top=-3772000.0
2023_RGB_8cm_W06A_18: left=-8000.0, bottom=-3764000.0, right=-7000.0, top=-3763000.0
2023_RGB_8cm_W06A_19: left=-7000.0, bottom=-3764000.0, right=-6000.0, top=-3763000.0
2023_RGB_8cm_W06A_20: left=-6000.0, bottom=-3764000.0, right=-5000.0, top=-3763000.0
2023_RGB_8cm_W06A_23: left=-8000.0, bottom=-3765000.0, right=-7000.0, top=-3764000.0
2023_RGB_8cm_W06A_24: left=-7000.0, bottom=-3765000.0, right=-6000.0, top=-3764000.0
2023_RGB_8cm_W06A_25: left=-6000.0, bottom=-3765000.0, right=-5000.0, top=-3764000.0
2023_RGB_8cm_W06B_21: left=-5000.0, bottom=-3765000.0, right=-4000.0, top=-3764000.0
2023_RGB_8cm_W06B_22: left=-4000.0, bottom=-3765000.0, right=-3000.0, top=-3764000.0
2023_RGB_8cm_W06C_2: left=-9000.0, bottom=-3766000.0, right=-8000.0, top=-3765000.0
2023_RGB_8cm_W06C_3: left=-8000.0, bottom=-3766000.0, right=-7000.0, top=-3765000.0
2023_RGB_8cm_W06C_4: left=-7000.0, bottom=-3766000.0, right=-6000.0, top=-3765000.0
2023_RGB_8cm_W06C_5: left=-6000.0, bottom=-3766000.0, right=-5000.0, top=-3765000.0
2023_RGB_8cm_W06C_6: left=-10000.0, bottom=-3767000.0, right=-9000.0, top=-3766000.0
2023_RGB_8cm_W06C_7: left=-9000.0, bottom=-3767000.0, right=-8000.0, top=-3766000.0
2023_RGB_8cm_W06C_8: left=-8000.0, bottom=-3767000.0, right=-7000.0, top=-3766000.0
2023_RGB_8cm_W06C_9: left=-7000.0, bottom=-3767000.0, right=-6000.0, top=-3766000.0
2023_RGB_8cm_W06C_10: left=-6000.0, bottom=-3767000.0, right=-5000.0, top=-3766000.0
2023_RGB_8cm_W06C_11: left=-10000.0, bottom=-3768000.0, right=-9000.0, top=-3767000.0
2023_RGB_8cm_W06C_12: left=-9000.0, bottom=-3768000.0, right=-8000.0, top=-3767000.0
2023_RGB_8cm_W06C_13: left=-8000.0, bottom=-3768000.0, right=-7000.0, top=-3767000.0
2023_RGB_8cm_W06C_14: left=-7000.0, bottom=-3768000.0, right=-6000.0, top=-3767000.0
2023_RGB_8cm_W06C_15: left=-6000.0, bottom=-3768000.0, right=-5000.0, top=-3767000.0
2023_RGB_8cm_W06C_16: left=-10000.0, bottom=-3769000.0, right=-9000.0, top=-3768000.0
2023_RGB_8cm_W06C_17: left=-9000.0, bottom=-3769000.0, right=-8000.0, top=-3768000.0
2023_RGB_8cm_W06C_18: left=-8000.0, bottom=-3769000.0, right=-7000.0, top=-3768000.0
2023_RGB_8cm_W06C_19: left=-7000.0, bottom=-3769000.0, right=-6000.0, top=-3768000.0
2023_RGB_8cm_W06C_20: left=-6000.0, bottom=-3769000.0, right=-5000.0, top=-3768000.0
2023_RGB_8cm_W06C_21: left=-10000.0, bottom=-3770000.0, right=-9000.0, top=-3769000.0
2023_RGB_8cm_W06C_22: left=-9000.0, bottom=-3770000.0, right=-8000.0, top=-3769000.0
2023_RGB_8cm_W06C_23: left=-8000.0, bottom=-3770000.0, right=-7000.0, top=-3769000.0
2023_RGB_8cm_W06C_24: left=-7000.0, bottom=-3770000.0, right=-6000.0, top=-3769000.0
2023_RGB_8cm_W06C_25: left=-6000.0, bottom=-3770000.0, right=-5000.0, top=-3769000.0
2023_RGB_8cm_W06D_1: left=-5000.0, bottom=-3766000.0, right=-4000.0, top=-3765000.0
2023_RGB_8cm_W06D_2: left=-4000.0, bottom=-3766000.0, right=-3000.0, top=-3765000.0
2023_RGB_8cm_W06D_3: left=-3000.0, bottom=-3766000.0, right=-2000.0, top=-3765000.0
2023_RGB_8cm_W06D_6: left=-5000.0, bottom=-3767000.0, right=-4000.0, top=-3766000.0
2023_RGB_8cm_W06D_7: left=-4000.0, bottom=-3767000.0, right=-3000.0, top=-3766000.0
2023_RGB_8cm_W06D_8: left=-3000.0, bottom=-3767000.0, right=-2000.0, top=-3766000.0
2023_RGB_8cm_W06D_9: left=-2000.0, bottom=-3767000.0, right=-1000.0, top=-3766000.0
2023_RGB_8cm_W06D_11: left=-5000.0, bottom=-3768000.0, right=-4000.0, top=-3767000.0
2023_RGB_8cm_W06D_12: left=-4000.0, bottom=-3768000.0, right=-3000.0, top=-3767000.0
2023_RGB_8cm_W06D_13: left=-3000.0, bottom=-3768000.0, right=-2000.0, top=-3767000.0
2023_RGB_8cm_W06D_14: left=-2000.0, bottom=-3768000.0, right=-1000.0, top=-3767000.0
2023_RGB_8cm_W06D_16: left=-5000.0, bottom=-3769000.0, right=-4000.0, top=-3768000.0
2023_RGB_8cm_W06D_17: left=-4000.0, bottom=-3769000.0, right=-3000.0, top=-3768000.0
2023_RGB_8cm_W06D_18: left=-3000.0, bottom=-3769000.0, right=-2000.0, top=-3768000.0
2023_RGB_8cm_W06D_19: left=-2000.0, bottom=-3769000.0, right=-1000.0, top=-3768000.0
2023_RGB_8cm_W06D_20: left=-1000.0, bottom=-3769000.0, right=0.0, top=-3768000.0
2023_RGB_8cm_W06D_21: left=-5000.0, bottom=-3770000.0, right=-4000.0, top=-3769000.0
2023_RGB_8cm_W06D_22: left=-4000.0, bottom=-3770000.0, right=-3000.0, top=-3769000.0
2023_RGB_8cm_W06D_23: left=-3000.0, bottom=-3770000.0, right=-2000.0, top=-3769000.0
2023_RGB_8cm_W06D_24: left=-2000.0, bottom=-3770000.0, right=-1000.0, top=-3769000.0
2023_RGB_8cm_W06D_25: left=-1000.0, bottom=-3770000.0, right=0.0, top=-3769000.0
2023_RGB_8cm_W07A_1: left=-10000.0, bottom=-3771000.0, right=-9000.0, top=-3770000.0
2023_RGB_8cm_W07A_3: left=-8000.0, bottom=-3771000.0, right=-7000.0, top=-3770000.0
2023_RGB_8cm_W07A_4: left=-7000.0, bottom=-3771000.0, right=-6000.0, top=-3770000.0
2023_RGB_8cm_W07A_5: left=-6000.0, bottom=-3771000.0, right=-5000.0, top=-3770000.0
2023_RGB_8cm_W07A_6: left=-10000.0, bottom=-3772000.0, right=-9000.0, top=-3771000.0
2023_RGB_8cm_W07A_7: left=-9000.0, bottom=-3772000.0, right=-8000.0, top=-3771000.0
2023_RGB_8cm_W07A_8: left=-8000.0, bottom=-3772000.0, right=-7000.0, top=-3771000.0
2023_RGB_8cm_W07A_9: left=-7000.0, bottom=-3772000.0, right=-6000.0, top=-3771000.0
2023_RGB_8cm_W07A_10: left=-6000.0, bottom=-3772000.0, right=-5000.0, top=-3771000.0
2023_RGB_8cm_W07A_11: left=-10000.0, bottom=-3773000.0, right=-9000.0, top=-3772000.0
2023_RGB_8cm_W07A_12: left=-9000.0, bottom=-3773000.0, right=-8000.0, top=-3772000.0
2023_RGB_8cm_W07A_13: left=-8000.0, bottom=-3773000.0, right=-7000.0, top=-3772000.0
2023_RGB_8cm_W07A_14: left=-7000.0, bottom=-3773000.0, right=-6000.0, top=-3772000.0
2023_RGB_8cm_W07A_15: left=-6000.0, bottom=-3773000.0, right=-5000.0, top=-3772000.0
2023_RGB_8cm_W07A_16: left=-10000.0, bottom=-3774000.0, right=-9000.0, top=-3773000.0
2023_RGB_8cm_W07A_17: left=-9000.0, bottom=-3774000.0, right=-8000.0, top=-3773000.0
